location,Category,Indicator,year,value
Nepal,Nutritional deficiencies,Children consuming vitamin A supplements,2011,86.8
Nepal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2011,69.6
Nepal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6 to 8 months),2011,65.2
Nepal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2011,90.6
Nepal,Vaccinations,Received all 8 basic vaccinations,2011,87
Nepal,DPT,Received all 8 basic vaccinations in first year,2011,82.2
Nepal,Tuberculosis,BCG vaccination received,2011,96.5
Nepal,Measles,Measles vaccination received,2011,88
Nepal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2011,26.6
Nepal,Neonatal disorders,Antenatal care: Received iron tablets or syrup,2011,79.5
Nepal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2011,50.1
Nepal,DPT,Tetanus protection at birth,2011,82.1
Nepal,Neonatal disorders,Assistance during delivery from a skilled provider,2011,36
Nepal,Neonatal disorders,Newborn's first postnatal checkup: 1-2 days,2011,2.3
Nepal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2011,24.7
Nepal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2016,61.3
Nepal,Diarrheal diseases,Treatment of diarrhea: Oral rehydration solution (ORS),2016,37
Nepal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2016,64.4
Nepal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2016,17.6
Nepal,Lower respiratory infections,Children with ARI taken to a health facility,2016,84.9
Nepal,Lower respiratory infections,Children with ARI who received antibiotics,2016,40.7
Nepal,Malaria,Children with fever in the last two weeks,2016,21.2
Nepal,Malaria,Advice or treatment for fever sought from a health facility or provider,2016,79.8
Nepal,Malaria,Child took antimalarial drugs for fever,2016,2
Nepal,Nutritional deficiencies,Children consuming vitamin A supplements,2016,82.5
Nepal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2016,66.1
Nepal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6 to 8 months),2016,83.2
Nepal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2016,94.9
Nepal,Vaccinations,Received all 8 basic vaccinations,2016,77.8
Nepal,DPT,Received all 8 basic vaccinations in first year,2016,68.3
Nepal,Tuberculosis,BCG vaccination received,2016,97.5
Nepal,Measles,Measles vaccination received,2016,90.4
Nepal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2016,31
Nepal,Neonatal disorders,Antenatal care: Received iron tablets or syrup,2016,90.9
Nepal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2016,69.4
Nepal,DPT,Tetanus protection at birth,2016,88.7
Nepal,Neonatal disorders,Assistance during delivery from a skilled provider,2016,58
Nepal,Neonatal disorders,Newborn's first postnatal checkup: 1-2 days,2016,3
Nepal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2016,51.4
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1986,
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1986,
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1986,
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1986,
Peru,LRI,Children with symptoms of ARI taken to a health facility,1986,
Peru,LRI,Children with symptoms of ARI who received antibiotics,1986,
Peru,Malaria,Children with fever in the last two weeks,1986,
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,1986,
Peru,Malaria,Child took antimalarial drugs for fever,1986,
Peru,Malaria,Child took antibiotic drugs for fever,1986,
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1986,28
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1986,47.3
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1986,53.1
Peru,Vaccine preventable disease,BCG vaccination received,1986,26.4
Peru,Measeles,Measles vaccination received,1986,35.4
Peru,DPT,Received all 8 basic vaccinations,1986,19.4
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1986,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1986,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,1986,
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1986,
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1986,
Peru,DPT,Tetanus protection at birth,1986,
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,1986,49.4
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1986,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1986,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1992,22.2
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1992,11
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1992,27.5
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1992,
Peru,LRI,Children with symptoms of ARI taken to a health facility,1992,34.7
Peru,LRI,Children with symptoms of ARI who received antibiotics,1992,
Peru,Malaria,Children with fever in the last two weeks,1992,
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,1992,
Peru,Malaria,Child took antimalarial drugs for fever,1992,
Peru,Malaria,Child took antibiotic drugs for fever,1992,
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1992,48
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1992,60.7
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1992,64.6
Peru,Vaccine preventable disease,BCG vaccination received,1992,90.6
Peru,Measeles,Measles vaccination received,1992,74
Peru,DPT,Received all 8 basic vaccinations,1992,57.7
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1992,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1992,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,1992,1.4
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1992,47
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1992,
Peru,DPT,Tetanus protection at birth,1992,
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,1992,79.8
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1992,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1992,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1996,32.2
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1996,
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1996,25.7
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1996,
Peru,LRI,Children with symptoms of ARI taken to a health facility,1996,48.7
Peru,LRI,Children with symptoms of ARI who received antibiotics,1996,
Peru,Malaria,Children with fever in the last two weeks,1996,27.9
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,1996,35.2
Peru,Malaria,Child took antimalarial drugs for fever,1996,
Peru,Malaria,Child took antibiotic drugs for fever,1996,
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1996,53
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1996,69.7
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1996,82.2
Peru,Vaccine preventable disease,BCG vaccination received,1996,94.3
Peru,Measeles,Measles vaccination received,1996,85.8
Peru,DPT,Received all 8 basic vaccinations,1996,63
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1996,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1996,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,1996,
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1996,51.5
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1996,
Peru,DPT,Tetanus protection at birth,1996,
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,1996,56.3
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1996,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1996,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2000,40.3
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2000,21
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2000,35.5
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2000,
Peru,LRI,Children with symptoms of ARI taken to a health facility,2000,61.6
Peru,LRI,Children with symptoms of ARI who received antibiotics,2000,
Peru,Malaria,Children with fever in the last two weeks,2000,25.9
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,2000,55.9
Peru,Malaria,Child took antimalarial drugs for fever,2000,
Peru,Malaria,Child took antibiotic drugs for fever,2000,
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2000,67.2
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2000,72.7
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2000,86.6
Peru,Vaccine preventable disease,BCG vaccination received,2000,96.2
Peru,Measeles,Measles vaccination received,2000,84.4
Peru,DPT,Received all 8 basic vaccinations,2000,66.3
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2000,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2000,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,2000,1.4
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2000,69.1
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2000,54.8
Peru,DPT,Tetanus protection at birth,2000,
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,2000,61.5
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2000,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2000,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2006,44.6
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2006,15.6
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2006,36.2
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2006,
Peru,LRI,Children with symptoms of ARI taken to a health facility,2006,69.6
Peru,LRI,Children with symptoms of ARI who received antibiotics,2006,27.3
Peru,Malaria,Children with fever in the last two weeks,2006,23.9
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,2006,66
Peru,Malaria,Child took antimalarial drugs for fever,2006,29.5
Peru,Malaria,Child took antibiotic drugs for fever,2006,21.6
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2006,63.3
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2006,78.9
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2006,89.5
Peru,Vaccine preventable disease,BCG vaccination received,2006,96.4
Peru,Measeles,Measles vaccination received,2006,85.6
Peru,DPT,Received all 8 basic vaccinations,2006,65.7
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2006,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2006,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,2006,
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2006,87.8
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2006,68.3
Peru,DPT,Tetanus protection at birth,2006,70.1
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,2006,75.4
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2006,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2006,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2008,43.7
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2008,15.3
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2008,39
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2008,
Peru,LRI,Children with symptoms of ARI taken to a health facility,2008,70.1
Peru,LRI,Children with symptoms of ARI who received antibiotics,2008,36.2
Peru,Malaria,Children with fever in the last two weeks,2008,25.2
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,2008,68.7
Peru,Malaria,Child took antimalarial drugs for fever,2008,51.5
Peru,Malaria,Child took antibiotic drugs for fever,2008,31
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2008,66.8
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2008,79.8
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2008,94.9
Peru,Vaccine preventable disease,BCG vaccination received,2008,95.7
Peru,Measeles,Measles vaccination received,2008,82.8
Peru,DPT,Received all 8 basic vaccinations,2008,56.9
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2008,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2008,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,2008,
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2008,91.2
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2008,77.7
Peru,DPT,Tetanus protection at birth,2008,76
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,2008,82.2
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2008,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2008,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2009,44.9
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2009,10.8
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2009,36.8
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2009,1.4
Peru,LRI,Children with symptoms of ARI taken to a health facility,2009,69
Peru,LRI,Children with symptoms of ARI who received antibiotics,2009,35.8
Peru,Malaria,Children with fever in the last two weeks,2009,22
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,2009,67.5
Peru,Malaria,Child took antimalarial drugs for fever,2009,50.7
Peru,Malaria,Child took antibiotic drugs for fever,2009,24.2
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2009,69.3
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2009,77.9
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2009,89.7
Peru,Vaccine preventable disease,BCG vaccination received,2009,93.7
Peru,Measeles,Measles vaccination received,2009,76.1
Peru,DPT,Received all 8 basic vaccinations,2009,51.4
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2009,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2009,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,2009,
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2009,92.4
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2009,79.6
Peru,DPT,Tetanus protection at birth,2009,74.3
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,2009,84.4
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2009,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2009,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2010,41.6
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2010,12.4
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2010,39.2
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2010,
Peru,LRI,Children with symptoms of ARI taken to a health facility,2010,67.9
Peru,LRI,Children with symptoms of ARI who received antibiotics,2010,40.4
Peru,Malaria,Children with fever in the last two weeks,2010,23.3
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,2010,66.9
Peru,Malaria,Child took antimalarial drugs for fever,2010,54.1
Peru,Malaria,Child took antibiotic drugs for fever,2010,29.4
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2010,68.8
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2010,80.2
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2010,92.1
Peru,Vaccine preventable disease,BCG vaccination received,2010,90
Peru,Measeles,Measles vaccination received,2010,83.4
Peru,DPT,Received all 8 basic vaccinations,2010,58.6
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2010,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2010,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,2010,
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2010,92.4
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2010,85.2
Peru,DPT,Tetanus protection at birth,2010,76.9
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,2010,85.2
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2010,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2010,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2011,36.6
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2011,9
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2011,36.6
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2011,0.6
Peru,LRI,Children with symptoms of ARI taken to a health facility,2011,64.7
Peru,LRI,Children with symptoms of ARI who received antibiotics,2011,37.2
Peru,Malaria,Children with fever in the last two weeks,2011,21.5
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,2011,67
Peru,Malaria,Child took antimalarial drugs for fever,2011,53.2
Peru,Malaria,Child took antibiotic drugs for fever,2011,25.1
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2011,71.7
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2011,82.1
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2011,88.9
Peru,Vaccine preventable disease,BCG vaccination received,2011,94.8
Peru,Measeles,Measles vaccination received,2011,88.3
Peru,DPT,Received all 8 basic vaccinations,2011,71
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2011,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2011,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,2011,
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2011,94.1
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2011,87.3
Peru,DPT,Tetanus protection at birth,2011,76.3
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,2011,86.9
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2011,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2011,
Peru,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2012,35.4
Peru,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2012,11.6
Peru,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2012,36.6
Peru,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2012,0.8
Peru,LRI,Children with symptoms of ARI taken to a health facility,2012,73.7
Peru,LRI,Children with symptoms of ARI who received antibiotics,2012,35.9
Peru,Malaria,Children with fever in the last two weeks,2012,20.5
Peru,Malaria,Advice or treatment for fever sought from a health facility or provider,2012,59.9
Peru,Malaria,Child took antimalarial drugs for fever,2012,52.4
Peru,Malaria,Child took antibiotic drugs for fever,2012,22.9
Peru,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2012,67.8
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2012,77.4
Peru,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2012,91.4
Peru,Vaccine preventable disease,BCG vaccination received,2012,94.3
Peru,Measeles,Measles vaccination received,2012,89.5
Peru,DPT,Received all 8 basic vaccinations,2012,73.9
Peru,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2012,
Peru,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2012,
Peru,Neonatal disorders,Antenatal care provider: Community health worker,2012,
Peru,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2012,94.2
Peru,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2012,87.4
Peru,DPT,Tetanus protection at birth,2012,75.2
Peru,Neonatal disorders,Assistance during delivery from a skilled provider,2012,88.4
Peru,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2012,
Peru,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2012,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1992,23.4
Rwanda,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1992,19.8
Rwanda,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1992,37.2
Rwanda,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1992,
Rwanda,LRI,Children with symptoms of ARI taken to a health facility,1992,33.5
Rwanda,LRI,Children with symptoms of ARI who received antibiotics,1992,
Rwanda,Malaria,Children with fever in the last two weeks,1992,41.3
Rwanda,Malaria,Advice or treatment for fever sought from a health facility or provider,1992,32.8
Rwanda,Malaria,Child took antimalarial drugs for fever,1992,
Rwanda,Malaria,Child took antibiotic drugs for fever,1992,
Rwanda,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1992,85.3
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1992,63.8
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1992,87.4
Rwanda,Vaccine preventable disease,BCG vaccination received,1992,96.9
Rwanda,Measeles,Measles vaccination received,1992,89.8
Rwanda,DPT,Received all 8 basic vaccinations,1992,86.3
Rwanda,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1992,
Rwanda,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1992,
Rwanda,Neonatal disorders,Antenatal care provider: Community health worker,1992,
Rwanda,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1992,12.1
Rwanda,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1992,
Rwanda,DPT,Tetanus protection at birth,1992,
Rwanda,Neonatal disorders,Assistance during delivery from a skilled provider,1992,26.1
Rwanda,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1992,
Rwanda,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1992,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2000,15
Rwanda,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2000,9.3
Rwanda,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2000,20.2
Rwanda,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2000,
Rwanda,LRI,Children with symptoms of ARI taken to a health facility,2000,17.7
Rwanda,LRI,Children with symptoms of ARI who received antibiotics,2000,
Rwanda,Malaria,Children with fever in the last two weeks,2000,30.2
Rwanda,Malaria,Advice or treatment for fever sought from a health facility or provider,2000,8.7
Rwanda,Malaria,Child took antimalarial drugs for fever,2000,6.6
Rwanda,Malaria,Child took antibiotic drugs for fever,2000,
Rwanda,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2000,83.3
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2000,74.3
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2000,92
Rwanda,Vaccine preventable disease,BCG vaccination received,2000,97
Rwanda,Measeles,Measles vaccination received,2000,86.9
Rwanda,DPT,Received all 8 basic vaccinations,2000,76
Rwanda,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2000,
Rwanda,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2000,
Rwanda,Neonatal disorders,Antenatal care provider: Community health worker,2000,
Rwanda,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2000,10
Rwanda,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2000,19.9
Rwanda,DPT,Tetanus protection at birth,2000,
Rwanda,Neonatal disorders,Assistance during delivery from a skilled provider,2000,25.4
Rwanda,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2000,
Rwanda,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2000,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2005,14.4
Rwanda,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2005,8.4
Rwanda,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2005,19
Rwanda,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2005,
Rwanda,LRI,Children with symptoms of ARI taken to a health facility,2005,31.6
Rwanda,LRI,Children with symptoms of ARI who received antibiotics,2005,
Rwanda,Malaria,Children with fever in the last two weeks,2005,26.2
Rwanda,Malaria,Advice or treatment for fever sought from a health facility or provider,2005,31.3
Rwanda,Malaria,Child took antimalarial drugs for fever,2005,16.3
Rwanda,Malaria,Child took antibiotic drugs for fever,2005,
Rwanda,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2005,88.4
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2005,63
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2005,90
Rwanda,Vaccine preventable disease,BCG vaccination received,2005,96.5
Rwanda,Measeles,Measles vaccination received,2005,85.6
Rwanda,DPT,Received all 8 basic vaccinations,2005,75.2
Rwanda,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2005,63.7
Rwanda,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2005,
Rwanda,Neonatal disorders,Antenatal care provider: Community health worker,2005,
Rwanda,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2005,13.2
Rwanda,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2005,27.4
Rwanda,DPT,Tetanus protection at birth,2005,
Rwanda,Neonatal disorders,Assistance during delivery from a skilled provider,2005,29.4
Rwanda,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2005,
Rwanda,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2005,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2008,32.5
Rwanda,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2008,9.7
Rwanda,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2008,29.6
Rwanda,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2008,0.2
Rwanda,LRI,Children with symptoms of ARI taken to a health facility,2008,28.6
Rwanda,LRI,Children with symptoms of ARI who received antibiotics,2008,12.7
Rwanda,Malaria,Children with fever in the last two weeks,2008,21.4
Rwanda,Malaria,Advice or treatment for fever sought from a health facility or provider,2008,37.1
Rwanda,Malaria,Child took antimalarial drugs for fever,2008,6.4
Rwanda,Malaria,Child took antibiotic drugs for fever,2008,17.9
Rwanda,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2008,
